unweighted.quartile.0%,unweighted.quartile.25%,unweighted.quartile.50%,unweighted.quartile.75%,unweighted.quartile.100%,weighted.quartile.0%,weighted.quartile.25%,weighted.quartile.50%,weighted.quartile.75%,weighted.quartile.100%,unweighted.mean,weighted.mean,bases,data,log+1.unweighted.quartile.0%,log+1.unweighted.quartile.25%,log+1.unweighted.quartile.50%,log+1.unweighted.quartile.75%,log+1.unweighted.quartile.100%,log+1.weighted.quartile.0%,log+1.weighted.quartile.25%,log+1.weighted.quartile.50%,log+1.weighted.quartile.75%,log+1.weighted.quartile.100%,log+1.unweighted.mean,log+1.weighted.mean,log+1.bases,log+1.data,log.unweighted.quartile.25%,log.unweighted.quartile.50%,log.unweighted.quartile.75%,log.unweighted.quartile.100%,log.weighted.quartile.100%,log.unweighted.mean,log.weighted.mean,log.bases,log.data,log.log.unweighted.quartile.75%,log.log.unweighted.quartile.100%,log.log.weighted.quartile.100%,log.log.unweighted.mean,log.log.bases,log.log.data
0,4,9,14,56,0,0,2,6,56,9.98283481416012,4.38232273671238,350552,21497,0,1.6094379124341,2.30258509299405,2.70805020110221,4.04305126783455,0,0,1.09861228866811,1.94591014905531,4.04305126783455,2.39633358255472,1.68312001645116,12.7672671865788,9.97571518653301,1.38629436111989,2.19722457733622,2.63905732961526,4.02535169073515,4.02535169073515,2.30086709950399,1.47757888901173,12.7672643339391,9.97566866949614,0.970421781277365,1.39261228363358,1.39261228363358,0.833286051672884,2.54688442109157,2.30014899506517
0,4,8,12,32,0,1,3,6,32,8.4995947667014,4.35802958757151,350485,25911,0,1.6094379124341,2.19722457733622,2.56494935746154,3.49650756146648,0,0.693147180559945,1.38629436111989,1.94591014905531,3.49650756146648,2.25124914156,1.67859629323698,12.7670760417204,10.1624614608512,1.38629436111989,2.07944154167984,2.484906649788,3.46573590279973,3.46573590279973,2.14001848785409,1.47202002575397,12.7670731885353,10.1624228679484,0.910235093365326,1.24292499185244,1.24292499185244,0.760814468180596,2.54686944945555,2.31869688497535
0,3,6,10,33,0,1,3,6,33,6.9034869739479,3.87944867017786,350498,24950,0,1.38629436111989,1.94591014905531,2.39789527279837,3.52636052461616,0,0.693147180559945,1.38629436111989,1.94591014905531,3.52636052461616,2.06730405119679,1.58503223606006,12.7671131323857,10.1246691805368,1.09861228866811,1.79175946922806,2.30258509299405,3.49650756146648,3.49650756146648,1.93202664249576,1.3556930482237,12.7671102793064,10.1246291011797,0.834032445247956,1.25176463074102,1.25176463074102,0.658569525806922,2.54687235464115,2.31497098033938
0,3,6,10,28,0,1,2,5,28,6.87202687569989,3.49166003406164,350541,22325,0,1.38629436111989,1.94591014905531,2.39789527279837,3.36729582998647,0,0.693147180559945,1.09861228866811,1.79175946922806,3.36729582998647,2.06331557383202,1.5022223514791,12.7672358070939,10.0135071975747,1.09861228866811,1.79175946922806,2.30258509299405,3.3322045101752,3.3322045101752,1.92745909557359,1.25037727758553,12.7672329543646,10.0134624057447,0.834032445247956,1.20363410002467,1.20363410002467,0.656202604737869,2.5468819632735,2.30393042819915
0,4,9,15,41,0,1,3,8,41,10.1134902341381,5.39193876910613,350542,32972,0,1.6094379124341,2.30258509299405,2.77258872223978,3.73766961828337,0,0.693147180559945,1.38629436111989,2.19722457733622,3.73766961828337,2.40815970680365,1.8550376291168,12.767238659815,10.403444323737,1.38629436111989,2.19722457733622,2.70805020110221,3.71357206670431,3.71357206670431,2.31387019938421,1.68490501766758,12.7672358070939,10.4034139954331,0.996228892951395,1.3119942346184,1.3119942346184,0.838921533587208,2.54688218671494,2.34213402107056
0,5,11,18,51,0,1,3,8,51,12.3665661808124,5.9432985279014,350520,32177,0,1.79175946922806,2.484906649788,2.94443897916644,3.95124371858143,0,0.693147180559945,1.38629436111989,2.19722457733622,3.95124371858143,2.5927565279712,1.93777695380796,12.76717589807,10.379038268211,1.6094379124341,2.39789527279837,2.89037175789616,3.93182563272433,3.93182563272433,2.51499655537149,1.78226428697578,12.7671730451698,10.3790071905946,1.06138512980168,1.36910385560587,1.36910385560587,0.922271433917162,2.54687727084441,2.33978522678517
0,5,10,16,47,0,1,3,8,47,11.1911670434225,5.28308260272917,350509,29639,0,1.79175946922806,2.39789527279837,2.83321334405622,3.87120101090789,0,0.693147180559945,1.38629436111989,2.19722457733622,3.87120101090789,2.50071167668112,1.83786072035479,12.7671445157203,10.29688007941,1.6094379124341,2.30258509299405,2.77258872223978,3.85014760171006,3.85014760171006,2.41512481031036,1.66450975363238,12.7671416627305,10.2968463406492,1.01978144053823,1.34811148567132,1.34811148567132,0.88175096705704,2.54687481278437,2.33183766783327
0,3,5,8,23,0,1,2,4,23,5.57026682257893,2.9003705616048,350549,18814,0,1.38629436111989,1.79175946922806,2.19722457733622,3.17805383034795,0,0.693147180559945,1.09861228866811,1.6094379124341,3.17805383034795,1.88255444393654,1.36107156441799,12.7672586286351,9.84240970302754,1.09861228866811,1.6094379124341,2.07944154167984,3.13549421592915,3.13549421592915,1.71744295630692,1.064838508693,12.7672557759709,9.8423565525319,0.732099368086445,1.14278680629477,1.14278680629477,0.540836531349943,2.5468837507858,2.28669516943764
0,3,5,9,30,0,0,1,4,30,6.02734127669372,2.70324231497752,350552,17373,0,1.38629436111989,1.79175946922806,2.30258509299405,3.43398720448515,0,0,0.693147180559945,1.6094379124341,3.43398720448515,1.94980843751626,1.30920873726759,12.7672671865788,9.76273011481987,1.09861228866811,1.6094379124341,2.19722457733622,3.40119738166216,3.40119738166216,1.79630599753587,0.994451909956835,12.7672643339391,9.7626725558939,0.787195008176644,1.22412754070154,1.22412754070154,0.5857323326146,2.54688442109157,2.27856619038925
0,4,8,12,35,0,1,3,7,35,8.49296026300743,4.6046619780596,350495,27984,0,1.6094379124341,2.19722457733622,2.56494935746154,3.58351893845611,0,0.693147180559945,1.38629436111989,2.07944154167984,3.58351893845611,2.25055049896521,1.72359874749051,12.7671045731235,10.2394239313255,1.38629436111989,2.07944154167984,2.484906649788,3.55534806148941,3.55534806148941,2.1392376159935,1.52706926376873,12.7671017200198,10.2393881972584,0.910235093365326,1.26845296605453,1.26845296605453,0.760449511351509,2.54687168422402,2.32624187146499
