quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.100%,log.log.sd,log.log.bases,log.log.data
0,0,2,4,292,3.16801723532912,5.01712121028538,74420627,3014786,0,0,1.09861228866811,1.6094379124341,5.68017260901707,1.42744043959826,1.79460894067307,18.1252437194389,14.9190397388817,5.67675380226828,1.15310591438218,1.61285630512364,18.1252437060018,14.9190394071832,1.7363795556717,0.478006709696511,2.89730564649872,2.70263820980638
0,1,4,11,107736,127.32426976042,2779.7776058284,398739,47951,0,0.693147180559945,1.6094379124341,2.484906649788,11.5874483510353,4.85456041788211,7.93048588189869,12.8960648543968,10.7779557895564,11.5874390691299,4.84673713751307,7.93012620558123,12.8960623464938,10.7779349351515,2.44992167255063,2.07066895047361,2.55692202031321,2.37750098267285
0,0,1,4,242,2.95810964454799,5.29031274722875,11394365,437017,0,0,0.693147180559945,1.6094379124341,5.49306144334055,1.37576654880476,1.83901079081631,16.2486295806761,12.9877296631608,5.48893772615669,1.08455043072401,1.66587736458178,16.2486294929135,12.9877273749229,1.70273474429601,0.510351930340043,2.78800856632139,2.56400486348464
0,1,2,5,371,3.67989890334744,5.24064607144306,67740324,3101496,0,0.693147180559945,1.09861228866811,1.79175946922805,5.91889385427315,1.54327650784739,1.83108371411198,18.0311922030985,14.9473954561209,5.91620206260743,1.30288527988702,1.65644478680953,18.0311921883363,14.9473951336959,1.77769469954037,0.504673610967504,2.89210315751044,2.70453704610663
0,0,1,4,193,2.67387344269136,4.38548724234259,41879383,1473349,0,0,0.693147180559945,1.6094379124341,5.26785815906333,1.30124653946347,1.68370778791582,17.5503042351669,14.203049277539,5.26269018890489,0.983528148723267,1.47830073535082,17.5503042112888,14.2030485988134,1.66064233876493,0.390893276354817,2.86507128373822,2.65345663162188
0,0,0,0,12,0.342212135690397,1.0321385550421,41860,230,0,0,0,0,2.56494935746154,0.294319100342012,0.709088713928105,10.642109884869,5.44241771052179,2.484906649788,-1.07232445441705,0.031632916809194,10.642085996,5.4380793089232,0.910235093365326,-3.45355702937519,2.3648165169534,1.69342593031195
0,0,2,5,166,3.36040070921055,4.49955842569111,33538136,1436119,0,0,1.09861228866811,1.79175946922805,5.11799381241676,1.4725639589201,1.70466780277733,17.3281937671994,14.1774555905585,5.11198778835654,1.21206022555798,1.50397926433725,17.3281937373826,14.1774548942376,1.63158832825324,0.408114438422797,2.85233487079301,2.65165301939773
0,1,2,5,333,3.64529925780364,5.62783579285771,84213159,3835588,0,0.693147180559945,1.09861228866811,1.79175946922805,5.8111409929767,1.53585579598251,1.89127832449244,18.2488617615367,15.1598335663881,5.80814248998044,1.29343846299688,1.72772496200661,18.248861749662,15.1598333056719,1.75926081062039,0.546805492208256,2.90410270820189,2.71864938448569
0,1,2,5,252,3.85667279074762,5.30367319176756,47100945,2265913,0,0.693147180559945,1.09861228866811,1.79175946922805,5.53338948872752,1.58035359250203,1.84113250980434,17.6678036437106,14.633488767511,5.52942908751142,1.34980484045695,1.66839963555681,17.6678036224796,14.6334883261878,1.71008457105669,0.511864864901894,2.87174397880267,2.68331262312375
0,0,1,4,312,3.21338034677566,5.79466107076246,58027659,2376273,0,0,0.693147180559945,1.6094379124341,5.74620319054015,1.43826525824207,1.91613716714828,17.8764303513834,14.6810442726812,5.74300318780948,1.16732345058663,1.75693698858648,17.8764303341502,14.6810438518542,1.7479822769594,0.563571945492135,2.88348310407247,2.68655712773292
