quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,mad,bases,sum,loss.0peaks,loss.1peak,loss.diff,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.mad,log+1.bases,log+1.sum,log+1.loss.diff,log.quartile.100%,log.mean,log.sd,log.bases,log.sum,log.log.quartile.100%,log.log.bases,log.log.sum
0,0.648648648648649,1.89189189189189,3.89189189189189,88.9189189189189,3.80851828792801,8.23546028091189,2.04358378378378,60514,230468.675675676,-1.8452858077824,-4.00772901445108,2.16244320666868,0,0.441833790837484,0.993283246390142,1.53099834775182,3.99733062566881,1.47552245035017,1.85325042513282,1.02658989946691,11.0106465471727,12.1989139433486,0.709319070690417,3.96985577916592,1.18827829830704,1.6283697727879,11.0106300222076,12.1989083205147,1.34867177145148,2.39886117182292,2.50049586018111
0,0.027027027027027,0.918918918918919,2.45945945945946,13.2162162162162,1.6472177565295,2.04988152835395,1.32231891891892,19266,31735.2972972973,0.406604382114573,0.314798705260672,0.0918056768539007,0,0.0187337075827012,0.571561203345068,1.16439845235497,2.60367957433988,0.941567453475473,1.0994423158091,0.727559881895425,9.86614906688076,10.2595288571176,0.0864528373228469,2.52193840433015,0.393389627811163,0.681067699492193,9.86609716331757,10.2594867911287,0.914469990112304,2.28910435106202,2.32682464384627
0,1.2972972972973,3,5.83783783783784,162.675675675676,5.94514857424934,12.9083447606067,2.88505945945946,171645,1020455.02702703,-4.56909179830324,-5.95296907124257,1.38387727293933,0,0.698105290564641,1.25908657824431,1.81809682250937,4.81033599402653,1.87851642292204,2.43592009615846,1.24948312003464,12.053189495381,13.7499288489035,0.73909999653318,4.79976474708792,1.69674399260616,2.32476057049345,12.0531836694199,13.7499276620261,1.55626737895775,2.4893288299718,2.62052041914502
0,0.648648648648649,1.7027027027027,3.18918918918919,142.324324324324,2.40634376160067,3.74231332301901,1.64288108108108,2763631,6650246.21621622,0.121711602881454,0.103469663992427,0.0182419388890273,0,0.426283408542793,0.896095639404881,1.35560269766208,4.56061185967575,1.19347599525417,1.48003628969769,0.888405332752972,14.8320563146295,15.6374522230542,0.0177866157237406,4.5464079148165,0.805396090789095,1.19852117525346,14.8320559527867,15.6374520435758,1.49716518359714,2.69679078125346,2.74931404438571
0,0.567567567567568,1.48648648648649,3.21621621621622,135.837837837838,2.77802630252034,6.67125859742411,1.4826,174471,484685.027027027,-0.204601068413026,-1.14060031542979,0.935999247016761,0,0.38563266808938,0.812282320777534,1.38902426608484,4.38801784535137,1.30191046711406,1.80614649556722,0.813942830310993,12.0695195492971,13.0367565276787,0.453707995766451,4.36994137725307,0.967240374868138,1.59135788926446,12.0695138177019,13.0367541925701,1.45117044745194,2.49068275407464,2.56741006547075
0,0,1.32432432432432,4.02702702702703,100.540540540541,4.11684531359622,9.87416803796357,1.92337297297297,23268,95790.7567567568,-4.35050978753771,-7.30357071067851,2.9530609231408,0,0,0.747634519314596,1.47537025764292,3.98410445797143,1.44496688491347,1.96923363292973,0.940562665948717,10.0548772815869,11.1782382517168,0.919105111857335,3.95405528899653,1.12338702528751,1.7617739553366,10.0548343050307,11.1782213303182,1.33707435591495,2.30805354422565,2.41207697029934
0,0.621621621621622,1.81081081081081,3.59459459459459,123.621621621622,2.96473393402688,6.11794266695441,1.80316216216216,336014,996192.108108108,-0.36455693519886,-1.23797950718652,0.873422571987662,0,0.407549700960092,0.927196403994263,1.44205332246075,4.40620033640808,1.35003604261392,1.80471199707462,0.939026943247772,12.724911080806,13.7583450291692,0.482768634300015,4.38933576135761,1.03343578776656,1.59610826495026,12.724908104744,13.7583438925105,1.4598248272805,2.54356134077939,2.62132020069075
0,0.297297297297297,1.2972972972973,2.83783783783784,174.72972972973,3.40354454963959,11.1869970996253,1.52267027027027,156583,532937.216216216,-1.25556676901791,-1.74712871326382,0.491561944245903,0,0.206070783409713,0.748306006882085,1.2847024551581,4.66357029618947,1.40634225499235,2.12717529446073,0.826598232934693,11.9613478861824,13.0593189415028,0.330605378591269,4.65007350314649,1.09797507996075,1.95989573006577,11.9613414998134,13.0593165797742,1.51700101419728,2.48167990776864,2.56883152899812
0,0.0540540540540541,0.918918918918919,2.35135135135135,143.891891891892,3.22483699475024,11.3861398525104,1.20210810810811,81265,262066.378378378,-1.43470979064025,-5.34199234649623,3.90728255585598,0,0.0374674151654024,0.590294910927769,1.12659529340583,4.37391811323182,1.31206083181924,2.02184124565097,0.713434565971505,11.3054830038821,12.2505598670897,1.00018984376995,4.35441278639999,0.945083431242381,1.81915296019299,11.3054706985373,12.2505541297797,1.44292675936113,2.42528674117783,2.50422291184255
0,0.297297297297297,1.51351351351351,3.48648648648649,92.5405405405406,4.69733129432961,11.0759784080261,1.96344324324324,44042,206879.864864865,-4.0334303688244,-7.6134733955014,3.58004302667701,0,0.206070783409713,0.837382678936256,1.44620829813486,4.10165819170008,1.57904137647214,2.08783559977106,0.973657990612234,10.6929217084076,12.0026395796061,0.994881414532649,4.07864356538713,1.30973335462121,1.90840539876807,10.6928990030661,12.0026323576873,1.38249427309804,2.36957987658507,2.48375692221382
