unweighted.quartile.0%,unweighted.quartile.25%,unweighted.quartile.50%,unweighted.quartile.75%,unweighted.quartile.100%,weighted.quartile.0%,weighted.quartile.25%,weighted.quartile.50%,weighted.quartile.75%,weighted.quartile.100%,unweighted.mean,weighted.mean,bases,data,log+1.unweighted.quartile.0%,log+1.unweighted.quartile.25%,log+1.unweighted.quartile.50%,log+1.unweighted.quartile.75%,log+1.unweighted.quartile.100%,log+1.weighted.quartile.0%,log+1.weighted.quartile.25%,log+1.weighted.quartile.50%,log+1.weighted.quartile.75%,log+1.weighted.quartile.100%,log+1.unweighted.mean,log+1.weighted.mean,log+1.bases,log+1.data,log.unweighted.quartile.25%,log.unweighted.quartile.50%,log.unweighted.quartile.75%,log.unweighted.quartile.100%,log.weighted.quartile.100%,log.unweighted.mean,log.weighted.mean,log.bases,log.data,log.log.unweighted.quartile.50%,log.log.unweighted.quartile.75%,log.log.unweighted.quartile.100%,log.log.weighted.quartile.100%,log.log.unweighted.mean,log.log.bases,log.log.data
0,2,5,34,105,0,0,0,2,105,21.6974874371859,2.42020187244002,27344,995,0,1.09861228866811,1.79175946922806,3.55534806148941,4.66343909411207,0,0,0,1.09861228866811,4.66343909411207,3.12225423277473,1.22969957636173,10.2162889757809,6.9037472575846,0.693147180559945,1.6094379124341,3.52636052461616,4.65396035015752,4.65396035015752,3.07719646753787,0.883850955053123,10.2162524053554,6.90274273715859,0.475884995327111,1.26026632622924,1.53771854532458,1.53771854532458,1.12401894465511,2.32397982529223,1.93191883076068
0,3,5,35,156,0,0,1,3,156,22.8610372340426,3.86156214492541,27283,1504,0,1.38629436111989,1.79175946922806,3.58351893845611,5.05624580534831,0,0,0.693147180559945,1.38629436111989,5.05624580534831,3.17224688739475,1.58135981526217,10.2140557287746,7.31654817718298,1.09861228866811,1.6094379124341,3.55534806148941,5.04985600724954,5.04985600724954,3.12943403065502,1.35107180236535,10.2140190765856,7.31588350450979,0.475884995327111,1.26845296605453,1.61935972946482,1.61935972946482,1.14085216732501,2.3237611959137,1.99004780701608
0,3,6,34,126,0,0,1,3,126,21.2090053763441,3.8632268932181,27308,1488,0,1.38629436111989,1.94591014905531,3.55534806148941,4.84418708645859,0,0,0.693147180559945,1.38629436111989,4.84418708645859,3.10049785420856,1.58170218737994,10.2149715971734,7.30586003268401,1.09861228866811,1.79175946922806,3.52636052461616,4.83628190695148,4.83628190695148,3.0544258733867,1.35150281693682,10.2149349785382,7.30518821539304,0.583198080782659,1.26026632622924,1.57614622446784,1.57614622446784,1.11659164481082,2.32385086295693,1.98858481015384
0,2,4,30,80,0,0,0,2,80,16.4273772204807,2.23789481389306,27323,957,0,1.09861228866811,1.6094379124341,3.43398720448515,4.39444915467244,0,0,0,1.09861228866811,4.39444915467244,2.85804237319398,1.17492336982757,10.2155207158517,6.86484777797086,0.693147180559945,1.38629436111989,3.40119738166216,4.38202663467388,4.38202663467388,2.79894928573856,0.805535608737412,10.2154841173193,6.86380339145295,0.326634259978281,1.22412754070154,1.47751131935514,1.47751131935514,1.02924409166198,2.3239046199336,1.92626171833909
0,2,5,36.25,106,0,0,1,2,106,20.1625,2.668261679512,27377,1120,0,1.09861228866811,1.79175946922806,3.61765194482557,4.67282883446191,0,0,0.693147180559945,1.09861228866811,4.67282883446191,3.05223074745925,1.29971789304694,10.2174950501555,7.02197642307216,0.693147180559945,1.6094379124341,3.59043938130068,4.66343909411207,4.66343909411207,3.00382444345133,0.981427204020384,10.2174585238108,7.02108396428914,0.475884995327111,1.27827458534555,1.53975317897557,1.53975317897557,1.09988629126583,2.32409787711953,1.94891761698499
0,2,5,25,98,0,0,1,3,98,15.5198529411765,2.98982068465858,27605,1360,0,1.09861228866811,1.79175946922806,3.25809653802148,4.59511985013459,0,0,0.693147180559945,1.38629436111989,4.59511985013459,2.80456286618738,1.38374628870356,10.2257884193835,7.21597500265147,0.693147180559945,1.6094379124341,3.2188758248682,4.58496747867057,4.58496747867057,2.74212003927052,1.09521341391813,10.2257521947181,7.2152399787301,0.475884995327111,1.16903217588706,1.52278301269976,1.52278301269976,1.0087313581799,2.32490926349876,1.97619545275795
0,12,33,48,91,0,0,0,0,91,32.8682926829268,1.71181102362205,28575,615,0,2.56494935746154,3.52636052461616,3.89182029811063,4.52178857704904,0,0,0,0,4.52178857704904,3.52247925761487,0.997616686094985,10.2603224836762,6.42324696353352,2.484906649788,3.49650756146648,3.87120101090789,4.51085950651685,4.51085950651685,3.49250844482809,0.537551888228518,10.260287488663,6.42162226780652,1.25176463074102,1.35356479763247,1.50648771329857,1.50648771329857,1.25062023013549,2.32828085968759,1.8596707754707
0,2,5,27,126,0,0,1,3,126,18.3986784140969,3.27269063061082,27291,1362,0,1.09861228866811,1.79175946922806,3.3322045101752,4.84418708645859,0,0,0.693147180559945,1.38629436111989,4.84418708645859,2.96520494076411,1.45224375306043,10.2143488979353,7.21744343169653,0.693147180559945,1.6094379124341,3.29583686600433,4.83628190695148,4.83628190695148,2.91227883671456,1.18561246939281,10.2143122564902,7.21670948670946,0.475884995327111,1.19266011628481,1.57614622446784,1.57614622446784,1.06893588011655,2.32378989917877,1.97639909925601
0,5,26,54,117,0,0,0,0,117,33.7439222042139,1.94784853091963,28283,617,0,1.79175946922806,3.29583686600433,4.00733318523247,4.77068462446567,0,0,0,0,4.77068462446567,3.54800465611575,1.08107559272201,10.2500515527241,6.42648845745769,1.6094379124341,3.25809653802148,3.98898404656427,4.76217393479776,4.76217393479776,3.51880031826357,0.666725445995753,10.250016196421,6.42486902390539,1.18114314080946,1.38353657355811,1.56070427297465,1.56070427297465,1.258120112843,2.3272792857218,1.86017624518912
0,3,7,60,199,0,0,1,3,199,34.7282821685173,4.47931918008785,27320,1531,0,1.38629436111989,2.07944154167984,4.11087386417331,5.29831736654804,0,0,0.693147180559945,1.38629436111989,5.29831736654804,3.57594259275239,1.7009808560316,10.2154109162359,7.33432935030054,1.09861228866811,1.94591014905531,4.0943445622221,5.29330482472449,5.29330482472449,3.54755440306557,1.49947106614809,10.2153743136847,7.33367639565768,0.665729810578276,1.40960664642895,1.66644278137904,1.66644278137904,1.2662584655414,2.32389387113075,1.99247694482205
