min.log.penalty,max.log.penalty
8.6719472727413,10.35312340891
9.31017476444149,10.2943846756204
9.8694007605602,Inf
11.0259836859058,13.8888127789531
8.7072431499333,11.0388483615306
11.3800449653428,11.4391618626508
9.16770462412886,10.6201296409559
9.18140595811365,Inf
11.2767558205998,13.6123795263037
9.36725168967893,11.9205387543352
12.0302922369357,13.8760680781782
8.97868397445436,12.2193258506789
10.3388557709143,14.4698736355354
9.64650012666369,11.5514692859065
8.14706519022025,11.0408611663268
12.2431456033427,12.5252402349983
11.2073570112803,12.7474399969693
12.1003405012581,15.4231028474715
10.6224982267169,12.6110015020351
9.553531303942,11.8524674045562
10.0915313345859,11.4763812671197
10.9163596644029,12.4487993059735
10.1209688415814,15.1628257539302
10.6723544109308,12.8062554732534
8.90737579729586,11.4405583720767
8.39474337652697,11.5988576902068
8.78078721730539,11.6234844408037
10.8174921738225,14.0986049277066
9.58865511884431,11.5100466007685
8.00509927258742,10.630261811428
10.675381867649,12.4268467347375
9.25922560452602,12.3755058260335
11.1996084912021,14.8612317727069
11.0584960183589,12.9358122017593
8.32761099699457,11.508726557816
9.81384900460534,11.2810272970493
10.5941302839055,12.2559257108768
11.2971552442122,15.1286465178287
10.1802080282593,12.2880034624414
8.61237342627354,11.3061795502217
