quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
0,1,3,6,139,4.43027945326253,4.31204593212996,88289540,6333331,0,0.693147180559945,1.38629436111989,1.94591014905531,4.9416424226093,1.69199059731081,1.66997705899856,18.2961322100875,15.6613370379363,1.79175946922805,4.93447393313069,1.48846266406803,1.46141248571368,18.2961321987611,15.6613368800415,0.583198080782659,1.59624606804037,0.397743818235383,0.379403424004613,2.90668968224975,2.7511950560148
0,2,4,7,67,5.3714155347643,4.62057589178874,53620202,4624986,0,1.09861228866811,1.6094379124341,2.07944154167984,4.21950770517611,1.85182166385539,1.72643413050425,17.7974364766657,15.3469841181139,1.94591014905531,4.20469261939097,1.68109147429903,1.53051934922757,17.797436458016,15.3469839018971,0.665729810578276,1.43620119191619,0.519443269542636,0.425607121745872,2.87905442771369,2.73091896625105
0,1,3,7,100,4.76589127963287,5.16934761459832,8576921,658783,0,0.693147180559945,1.38629436111989,2.07944154167984,4.61512051684126,1.75195974361577,1.81959309725374,15.9645856658424,13.398150990409,1.94591014905531,4.60517018598809,1.56148456675729,1.64274649382666,15.9645855492504,13.3981494724597,0.665729810578276,1.5271796258079,0.445637014091314,0.496369532461896,2.77037286587052,2.59511659835014
0,2,4,7,287,5.26634962132684,5.38628908773051,25336229,2125909,0,1.09861228866811,1.6094379124341,2.07944154167984,5.66296048013595,1.8351939875465,1.85415336225177,17.0477459451512,14.5697105039682,1.94591014905531,5.65948221575962,1.66133745107056,1.68385666686853,17.047745905682,14.5697100335813,0.665729810578276,1.73333240671587,0.507622971387745,0.521086797511528,2.83601799004435,2.67894471840175
0,2,5,8,47,5.77991217530522,4.88580489910022,1627105,150800,0,1.09861228866811,1.79175946922805,2.19722457733622,3.87120101090789,1.9139641483736,1.77254350265985,14.3023135346629,11.9237163658337,2.07944154167984,3.85014760171006,1.75438848798498,1.58633404144072,14.3023129200746,11.923709734556,0.732099368086445,1.34811148567132,0.562120356303943,0.461425719850709,2.66042126684948,2.47852883256046
0,0,2,4,76,3.55165505449456,5.34016283911472,88289540,5186308,0,0,1.09861228866811,1.6094379124341,4.34380542185368,1.51549091506307,1.84690445252225,18.2961322100875,15.4615328267997,1.38629436111989,4.33073334028633,1.26741370737771,1.6752561467234,18.2961321987611,15.4615326339844,0.326634259978281,1.4657368903269,0.236978373201254,0.515966077002394,2.90668968224975,2.73835517369098
0,1,3,8,73,5.80070306337153,6.86873506851625,53620202,5000905,0,0.693147180559945,1.38629436111989,2.19722457733622,4.30406509320417,1.91702599850979,2.06289732124128,17.7974364766657,15.4251296539836,2.07944154167984,4.29045944114839,1.75797912802876,1.92697996533904,17.797436458016,15.4251294540199,0.732099368086445,1.45639382304436,0.564164926626387,0.655953992563985,2.87905442771369,2.73599796223726
0,0,1,7,123,5.00469434194392,7.43345091002448,8576921,681069,0,0,0.693147180559945,2.07944154167984,4.82028156560504,1.79254155364428,2.13220604886831,15.9645856658424,13.4314203698638,1.94591014905531,4.81218435537242,1.61037634036163,2.00599020716495,15.9645855492504,13.4314189015849,0.665729810578276,1.57115110896884,0.47646790345809,0.69613780775562,2.77037286587052,2.59759665659885
0,0,2,8,93,5.77383840349722,8.04533349040311,25336229,2285851,0,0,1.09861228866811,2.19722457733622,4.54329478227,1.91306789870761,2.20224898830611,17.0477459451512,14.6422493793338,2.07944154167984,4.53259949315326,1.75333709392448,2.08509223271174,17.047745905682,14.64224894186,0.732099368086445,1.51129561446017,0.561520882903055,0.734813090584954,2.83601799004435,2.68391111298267
0,2,4,9,74,6.61600880090713,6.96113157611256,1627105,173918,0,1.09861228866811,1.6094379124341,2.30258509299405,4.31748811353631,2.03025245306969,2.07457114755591,14.3023135346629,12.0663449525685,2.19722457733622,4.30406509320417,1.88949228796644,1.94034204390597,14.3023129200746,12.0663392027489,0.787195008176644,1.45955994663085,0.636308162278275,0.662864268825967,2.66042126684948,2.49041969190164
0,0,1,4,144,2.81556656654911,4.40712750068111,88289540,3712832,0,0,0.693147180559945,1.6094379124341,4.97673374242057,1.33908916394554,1.68771799079156,18.2961322100875,15.1273057550403,1.38629436111989,4.969813299576,1.03516350832032,1.48322311684164,18.2961321987611,15.1273054857041,0.326634259978281,1.60338227392527,0.0345593932934018,0.39421750149659,2.90668968224975,2.7165014211077
0,0,2,5,131,3.58427941021185,4.88580854723363,53620202,2868898,0,0,1.09861228866811,1.79175946922805,4.88280192258637,1.52263293091695,1.77254412247861,17.7974364766657,14.86943889044,1.6094379124341,4.87519732320115,1.2765574525125,1.58633478812057,17.797436458016,14.8694385418742,0.475884995327111,1.58416058018474,0.244166964530292,0.461426190545816,2.87905442771369,2.69930800198344
0,0,0,2,47,1.92858847598107,3.36365168272538,8576921,270292,0,0,0,1.09861228866811,3.87120101090789,1.07452055813881,1.47330924872792,15.9645856658424,12.5072618347779,0.693147180559945,3.85014760171006,0.656788375747593,1.21302719415924,15.9645855492504,12.5072581350822,-0.366512920581664,1.34811148567132,-0.420393419314188,0.193119048638267,2.77037286587052,2.52630912660238
