min.log.penalty,max.log.penalty
7.399504487402,10.7111544782541
-Inf,12.1466652676124
6.95814542617346,7.22641383385236
7.23284803463646,7.43679217943279
-Inf,11.9952467949436
-Inf,11.8645900555863
7.52374170947121,8.28762287654168
8.08122890660161,11.6434050072466
8.90007806533859,11.5153124713441
-Inf,8.03456042557597
6.73227984169133,9.5860307415459
7.64574297567664,10.8942149889697
7.15758101794257,7.25339713994006
8.51653605832663,10.3331088738607
10.1254405032962,12.1216753383781
8.29386743822765,11.882628553619
7.81941123992636,11.5715409358885
-Inf,11.7300480891476
7.71715792709986,7.9567342319139
7.6713771302818,10.0026251524062
-Inf,13.1769397052938
-Inf,12.7731468577336
-Inf,14.4262771486353
-Inf,12.5687022731434
-Inf,12.463125447244
-Inf,11.7742352530932
-Inf,10.842324311414
6.8765328983997,7.28045507157556
-Inf,11.1053872904679
7.01932070895791,9.14138654793095
7.5746917441923,9.78722706571569
-Inf,11.2533702893322
-Inf,10.9700293361082
6.69811998829798,Inf
7.94689106794135,10.729597396952
8.60212007782944,9.25961441000504
7.53510922215113,9.83186828727763
5.85118740843142,6.97015268553388
-Inf,8.16939183238327
7.29941161803903,9.64070564622807
-Inf,8.96518370739676
9.82123702608606,10.9010655213777
-Inf,10.930273743428
8.49515406460862,10.8816459741212
-Inf,10.501289840058
7.66766772729881,9.3381635055167
-Inf,11.7810086845919
9.61222634050402,11.301583070203
-Inf,12.9802867082504
-Inf,11.5182669161651
8.00529808144549,11.3327519271576
10.9548091764654,Inf
7.91050046354892,10.2954081330986
7.28264120102901,9.44044585603039
8.21020164605583,9.35946575860096
7.71295020387796,8.37145700772397
6.99129773188779,8.3396258041966
7.77283034326355,9.26257416977849
-Inf,9.13383561393362
6.93302226784972,8.52675284004982
-Inf,8.6299058386538
8.30848299003885,9.19703881993608
7.20245281692891,8.1162087698923
6.47203674774987,7.67293650548876
7.55790768696905,9.5465145868052
6.81531968661037,7.8106145460708
7.91619828061556,9.11483137692603
8.55899800865566,9.6885189792515
7.74451191378594,9.1844894605168
-Inf,8.41171419468576
-Inf,8.74653465496679
7.06971223423774,8.60600148897154
7.41345594393177,8.53771296562334
-Inf,10.2713445125378
8.63075738634033,9.57684146395499
-Inf,9.8461245991256
-Inf,9.71845432098092
-Inf,8.75402531548202
7.35739989954592,9.30197452042108
7.79881574181515,8.62227494103824
6.26268125716954,7.68444217576443
-Inf,9.36270302917533
6.8541350451883,6.98645611890859
-Inf,8.07021590771481
-Inf,9.0944041677407
