unweighted.quartile.0%,unweighted.quartile.25%,unweighted.quartile.50%,unweighted.quartile.75%,unweighted.quartile.100%,weighted.quartile.0%,weighted.quartile.25%,weighted.quartile.50%,weighted.quartile.75%,weighted.quartile.100%,unweighted.mean,weighted.mean,bases,data,log+1.unweighted.quartile.0%,log+1.unweighted.quartile.25%,log+1.unweighted.quartile.50%,log+1.unweighted.quartile.75%,log+1.unweighted.quartile.100%,log+1.weighted.quartile.0%,log+1.weighted.quartile.25%,log+1.weighted.quartile.50%,log+1.weighted.quartile.75%,log+1.weighted.quartile.100%,log+1.unweighted.mean,log+1.weighted.mean,log+1.bases,log+1.data,log.unweighted.quartile.25%,log.unweighted.quartile.50%,log.unweighted.quartile.75%,log.unweighted.quartile.100%,log.weighted.quartile.100%,log.unweighted.mean,log.weighted.mean,log.bases,log.data,log.log.unweighted.quartile.50%,log.log.unweighted.quartile.75%,log.log.unweighted.quartile.100%,log.log.weighted.quartile.100%,log.log.unweighted.mean,log.log.weighted.mean,log.log.bases,log.log.data
0,4,9,27,47,0,2,3,6,47,14.9443488238669,6.40806529044647,16664,1743,0,1.6094379124341,2.30258509299405,3.3322045101752,3.87120101090789,0,1.09861228866811,1.38629436111989,1.94591014905531,3.87120101090789,2.76910446073608,2.00256931081023,9.72106599074184,7.46393660446893,1.38629436111989,2.19722457733622,3.29583686600433,3.85014760171006,3.85014760171006,2.70433322328225,1.85755739861029,9.72100598294081,7.46336304552002,0.787195008176644,1.19266011628481,1.34811148567132,1.34811148567132,0.994855384050467,0.619262398133854,2.27428910930431,2.01000612302262
0,7,39,70,128,0,2,4,10,128,43.014847809948,14.1934345850275,16724,2694,0,2.07944154167984,3.68887945411394,4.26267987704132,4.85981240436167,0,1.09861228866811,1.6094379124341,2.39789527279837,4.85981240436167,3.78452702722083,2.72086339934579,9.72465988499643,7.8991534833431,1.94591014905531,3.66356164612965,4.24849524204936,4.85203026391962,4.85203026391962,3.76154535399773,2.65277950452196,9.72460009247646,7.89878235697031,1.29843580158963,1.44656485954777,1.57939722847365,1.57939722847365,1.32482987136875,0.975607959949634,2.27465876706274,2.06670861556434
0,4,7,13,32,0,1,3,7,32,9.13726937269373,4.93412779208336,16699,1355,0,1.6094379124341,2.07944154167984,2.63905732961526,3.49650756146648,0,0.693147180559945,1.38629436111989,2.07944154167984,3.49650756146648,2.31621866926351,1.78072005720859,9.72316399840485,7.21229446850034,1.38629436111989,1.94591014905531,2.56494935746154,3.46573590279973,3.46573590279973,2.21236158510689,1.5961759180724,9.72310411637243,7.2115567333138,0.665729810578276,0.941938734748111,1.24292499185244,1.24292499185244,0.794060535539298,0.467610717309498,2.27450492102612,1.97568484107195
0,4,13,25,49,0,1,3,6,49,15.3068880688807,6.23835583843912,16811,1626,0,1.6094379124341,2.63905732961526,3.25809653802148,3.91202300542815,0,0.693147180559945,1.38629436111989,1.94591014905531,3.91202300542815,2.79158759946347,1.9793940864696,9.72984819612501,7.39449310721904,1.38629436111989,2.56494935746154,3.2188758248682,3.89182029811063,3.89182029811063,2.72830292766895,1.8307166602328,9.72978871303306,7.39387829010776,0.941938734748111,1.16903217588706,1.35887699113822,1.35887699113822,1.00367977768322,0.604707507804716,2.2751921809604,2.00065239974977
0,6,40,55,117,0,1,3,6,117,36.7919723780751,10.9838467543386,16653,2317,0,1.94591014905531,3.71357206670431,4.02535169073515,4.77068462446567,0,0.693147180559945,1.38629436111989,1.94591014905531,4.77068462446567,3.63209670912124,2.48355963917129,9.72040570679576,7.7484600238997,1.79175946922806,3.68887945411394,4.00733318523247,4.76217393479776,4.76217393479776,3.60527967947835,2.39642571665117,9.72034565935827,7.74802852443238,1.30532274096324,1.3881259789914,1.56070427297465,1.56070427297465,1.28239934872027,0.873978342538425,2.27422117950242,2.04743842705996
0,6,36,54,98,0,2,4,8,98,32.7334710743802,11.1472410916458,16782,2420,0,1.94591014905531,3.61091791264422,4.00733318523247,4.59511985013459,0,1.09861228866811,1.6094379124341,2.19722457733622,4.59511985013459,3.51849055140953,2.49710207335568,9.72812174830818,7.79193595693806,1.79175946922806,3.58351893845611,3.98898404656427,4.58496747867057,4.58496747867057,3.48839813465841,2.41119203156202,9.72806216243001,7.79152281915073,1.2763452613426,1.38353657355811,1.52278301269976,1.52278301269976,1.24944264364357,0.880121244124358,2.27501471525582,2.05303632462295
0,4,6,15,28,0,1,3,6,28,9.27207637231504,4.52373512798943,16642,1257,0,1.6094379124341,1.94591014905531,2.77258872223978,3.36729582998647,0,0.693147180559945,1.38629436111989,1.94591014905531,3.36729582998647,2.32942918191948,1.70905428508343,9.71974498658673,7.13727843726039,1.38629436111989,1.79175946922806,2.70805020110221,3.3322045101752,3.3322045101752,2.22700734287961,1.50933800835008,9.71968489946038,7.13648320859025,0.583198080782659,0.996228892951395,1.20363410002467,1.20363410002467,0.800658685476625,0.411671149633063,2.27415320019589,1.96522010719348
0,5,27,44.5,88,0,1,2,5,88,28.0338891877353,7.99382234750795,16673,1859,0,1.79175946922806,3.3322045101752,3.81771232595691,4.48863636973214,0,0.693147180559945,1.09861228866811,1.79175946922806,4.48863636973214,3.36846374039406,2.19653793581943,9.72160589897056,7.52833176670725,1.6094379124341,3.29583686600433,3.79548918917219,4.47733681447821,4.47733681447821,3.33341410645198,2.07866903681326,9.72154592356046,7.52779398772144,1.19266011628481,1.33381330614292,1.49902840861089,1.49902840861089,1.20399703596794,0.73172780275124,2.27434465145972,2.01860203577172
0,8,26,49,109,0,1,4,11,109,31.8590425531915,10.5849202570816,16804,1880,0,2.19722457733622,3.29583686600433,3.91202300542815,4.70048036579242,0,0.693147180559945,1.6094379124341,2.484906649788,4.70048036579242,3.49222697503282,2.44970427457033,9.72943174015921,7.53955882930103,2.07944154167984,3.25809653802148,3.89182029811063,4.69134788222914,4.69134788222914,3.46132125234144,2.3594303709809,9.72937223228927,7.539027055824,1.18114314080946,1.35887699113822,1.54571993609976,1.54571993609976,1.24165038101638,0.858420221675089,2.27514937533841,2.02009313600466
0,5,9,28,51,0,3,4,7,51,15.5692921236291,7.51707375622637,16663,2006,0,1.79175946922806,2.30258509299405,3.36729582998647,3.95124371858143,0,1.38629436111989,1.6094379124341,2.07944154167984,3.95124371858143,2.80755111016559,2.14207282600478,9.72100598294081,7.60439634879634,1.6094379124341,2.19722457733622,3.3322045101752,3.93182563272433,3.93182563272433,2.74530052069094,2.01717693407035,9.72094597153862,7.60389796852188,0.787195008176644,1.20363410002467,1.36910385560587,1.36910385560587,1.0098905482736,0.701698976528026,2.27428293591161,2.02866100640384
