min.log.penalty,max.log.penalty
-Inf,9.49528028583232
-Inf,11.2358015277116
-Inf,8.80590503453001
7.53757728719201,9.98561934560334
-Inf,11.1011096025721
-Inf,10.5075460645293
-Inf,8.8098861295442
-Inf,10.8706252909497
-Inf,10.1249404753596
-Inf,9.87022390271234
6.89896022640118,8.53266729465293
-Inf,9.89026784520607
-Inf,9.34765168024796
-Inf,8.97827470043858
-Inf,10.1773796342813
-Inf,10.1205602659309
-Inf,10.7066838887879
-Inf,10.8938584341024
-Inf,9.70513352923521
8.24671484124937,11.0696802764392
-Inf,12.295913206847
-Inf,11.3894671784983
11.372190892552,13.5204424990065
-Inf,11.7421404719138
-Inf,11.7338229370271
8.1529151100533,10.113205036657
9.75495298597732,10.3592692328481
9.34347882297383,Inf
6.96087902737824,Inf
7.32234456072186,7.76833449983572
8.88395356107963,Inf
8.77196166505186,Inf
9.9523502995771,Inf
-Inf,9.11269767032037
8.15353435109077,8.1678674147912
7.05158194808614,7.4253147740998
7.55632303619926,Inf
8.06123490543387,8.2811737348749
-Inf,7.43778915319683
-Inf,7.97420347339401
-Inf,8.53588425589405
8.43965193591604,8.44551162541785
-Inf,8.58981083134526
7.54441399235811,7.92052735910419
7.3193538732328,7.35067671313695
-Inf,10.2330388321461
-Inf,12.6778683576447
-Inf,12.0533659244058
-Inf,14.347535385473
-Inf,8.80748899091277
8.31513567585046,8.55520811384504
-Inf,8.53944981490417
-Inf,9.81045450326591
-Inf,8.91029959992651
-Inf,11.7776265409015
8.78577095986937,9.45424991807378
-Inf,8.51631367656428
7.84163876531786,8.50808335460813
7.24411687234101,9.1558807567848
7.67066400620894,8.4040428932128
9.72146863204309,9.92169243836291
7.04540049683386,7.2699841292457
7.80534649971405,10.0876121773077
9.10579099396061,9.93857470975644
9.57656230616204,9.62489168369314
7.41316672202909,8.12753152724986
9.0948221028513,9.1790178359314
7.93461229978485,10.7959164875555
7.38285172624789,10.0742254584597
7.40970308979196,9.1186059150635
7.85184339133276,8.63337676831399
7.97501480891136,9.38266473339224
7.91026722623078,9.90598938088051
8.53560960597747,10.0252919916015
9.3508973543009,11.0625892647496
9.67784288245945,10.6043900081196
9.80871898347004,10.5311796314697
8.93477304717651,10.014458067425
7.80103762961626,8.22119655117849
8.99853575343618,9.22217425768699
-Inf,7.80119302609902
-Inf,8.17357420415301
8.71167665671971,9.13017625292874
-Inf,8.83922766056283
8.47017165488405,8.61514980782677
-Inf,9.16354028301283
9.05757284884137,9.56999264440603
8.17946096626095,8.620523498729
-Inf,7.54096158502133
8.16200273841351,8.17083961989086
8.30629190094429,10.2909157399511
8.7467573156618,9.94749666468258
8.9223778590697,9.6855714146728
8.84448737229164,9.22798540925044
-Inf,8.2921054949324
-Inf,8.8240386238891
8.40636830910579,9.06027498890352
8.46344009176752,9.50981006421628
-Inf,10.034671479229
-Inf,8.65547804465099
-Inf,12.3136769118404
-Inf,9.0077493293306
-Inf,8.76587890459403
9.04909622002333,11.2977780868333
7.65343662365626,8.24703884138921
-Inf,10.277156473099
-Inf,12.0839370338287
-Inf,8.50129889984305
8.29394549862887,9.16599950576686
9.77339734468635,11.0590626211273
9.33899606366506,10.3062331310992
-Inf,9.86290996201069
9.85362647005824,10.6017033354199
-Inf,11.8375273790934
-Inf,9.20019777382311
-Inf,8.42178908557722
-Inf,10.0282623094084
8.09080962598968,8.81752512505736
-Inf,9.27090598406599
-Inf,12.4907922079236
-Inf,11.8638662412423
9.51432243318969,11.3735414699648
-Inf,11.7395489808861
-Inf,11.5428916984389
9.43923521737614,12.7212040295655
10.5853262255118,14.5603515397915
-Inf,13.8249408102712
-Inf,15.4188196846985
-Inf,13.637804273767
-Inf,13.2817084625183
10.2231752361981,11.4099152402906
9.01374010230954,10.640541115572
8.19146454477301,9.34348659330844
8.07793850628241,11.6000160229501
7.80787372428416,Inf
7.51705057132493,9.50585253449276
8.05672398361407,11.3746166335379
8.35145466000709,11.21498196338
8.64437412115866,Inf
8.69316206128532,9.96939664959074
