quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.100%,log.log.bases,log.log.data
0,0,0,0,57,0.205878600805516,0.733211035350337,74420362,698448,0,0,0,0,4.06044301054642,0.187208430556173,0.549975777901391,18.1252401585919,13.456617441413,4.04305126783455,-1.58046860038584,-0.310321712188312,18.1252401451547,13.4566160096682,1.39699967121997,2.89730545004081,2.59947088173596
0,0,0,0,37,0.20310891688778,0.674872816229428,17910868,167300,0,0,0,0,3.63758615972639,0.184908970623077,0.515737231784858,16.7009182932395,12.0275498642434,3.61091791264422,-1.59401290743153,-0.393231026263809,16.7009182374075,12.0275438869749,1.28396200945433,2.81546370218703,2.48719934347069
0,0,0,0,44,0.590815708348889,2.11288505874342,447329,10592,0,0,0,0,3.80666248977032,0.464246908799056,1.13554996779143,13.0110518562531,9.2679486845965,3.78418963391826,-0.526251140410113,0.748054339967127,13.0110496207645,9.26785427817679,1.33083176460578,2.56579896726892,2.22655188333223
0,0,0,0,46,0.195174489684678,0.706542665659778,17263542,153962,0,0,0,0,3.85014760171006,0.17829219119664,0.534469490903697,16.66410749486,11.9444675927885,3.8286413964891,-1.63386130163437,-0.347371688504353,16.6641074369345,11.9444610977004,1.34251001349688,2.81325715118551,2.48026766445661
0,0,0,0,49,0.200661883292006,0.700248353482366,61771313,567187,0,0,0,0,3.91202300542815,0.182872974145464,0.530774330675769,17.9389496399082,13.2484460974177,3.89182029811063,-1.60613396004079,-0.356320216172971,17.9389496237194,13.2484443343323,1.35887699113822,2.88697430551408,2.58388013680965
0,0,0,0,45,0.216125758927819,0.766752933292061,66110042,648902,0,0,0,0,3.8286413964891,0.195670198367382,0.56914336086313,18.0068312297406,13.3830385238071,3.80666248977032,-1.53189482346226,-0.265590650377799,18.0068312146144,13.3830369827435,1.33675281830092,2.89075119782275,2.59398800822247
0,0,0,0,51,0.361865564217365,1.38068947864501,1410919,21837,0,0,0,0,3.95124371858143,0.30885549816947,0.867390142639003,14.1597525318498,9.99140685057401,3.93182563272433,-1.01648250569641,0.322582996606022,14.1597518230922,9.99136105778637,1.36910385560587,2.6504035614942,2.30172082540102
0,0,0,0,51,0.156055160015038,0.546414583923884,114509831,830256,0,0,0,0,3.95124371858143,0.145013485387785,0.43593907975466,18.5561712462677,13.6294905703989,3.93182563272433,-1.85754574439077,-0.604377280152245,18.5561712375348,13.6294893659518,1.36910385560587,2.92080241499602,2.61223578102659
0,0,0,0,37,0.173851920010146,0.631316671752126,7411940,59312,0,0,0,0,3.63758615972639,0.160290580580081,0.489387462825831,15.8186029062909,10.990583785243,3.61091791264422,-1.74955137652744,-0.459947685352592,15.8186027713735,10.9905669253905,1.28396200945433,2.76118663804545,2.39703735265288
0,0,0,0,49,0.18454734831532,0.635925562983506,55747390,473975,0,0,0,0,3.91202300542815,0.169360717068381,0.492208737746591,17.8363411690032,13.0689119664839,3.89182029811063,-1.68984921799017,-0.452673761825762,17.8363411510651,13.0689098566702,1.35887699113822,2.88123801368845,2.57023611609859
0,0,0,0,62,0.258851360016563,0.971331365480673,74419976,853726,0,0,0,0,4.14313472639153,0.230199686151575,0.678709134527322,18.125234971826,13.6573667495335,4.12713438504509,-1.35150128157593,-0.029087606826449,18.1252349583887,13.6573655781982,1.41758331264522,2.89730516387816,2.61427897889613
0,0,0,0,44,0.257676685902763,0.891500262536058,17903494,207164,0,0,0,0,3.80666248977032,0.229266118809839,0.637370303888748,16.7005065031486,12.2412708561801,3.78418963391826,-1.35604963533202,-0.114849547190978,16.7005064472935,12.2412660290983,1.33083176460578,2.81543904514812,2.50481270548514
0,0,0,1,50,0.760343373859483,2.75175668300969,477963,13677,0,0,0,0.693147180559945,3.93182563272433,0.565508888804565,1.32222417909702,13.0772906948298,9.52354398165804,3.91202300542815,-0.273985140026286,1.01223950155826,13.0772886026199,9.52347086888155,1.36405463288845,2.57087703116312,2.25375936942495
0,0,0,0,50,0.239049181921339,0.927453512900164,17263071,183410,0,0,0,0,3.93182563272433,0.214344296710953,0.656199708343582,16.6640802115598,12.1194848151956,3.91202300542815,-1.4310859661232,-0.0753126066189963,16.6640801536327,12.1194793629451,1.36405463288845,2.81325551393466,2.49481402286578
0,0,0,0,52,0.253788712562412,0.938123982855894,61771841,698469,0,0,0,0,3.97029191355212,0.226169937234987,0.661720486064128,17.9389581875286,13.45664750758,3.95124371858143,-1.3712531984402,-0.0638731608258911,17.93895817134,13.4566460758783,1.37403039481696,2.88697478199786,2.59947311604037
0,0,0,0,56,0.281153488872463,1.03787242843848,66109281,818983,0,0,0,0,4.04305126783455,0.247760835309376,0.711906336393052,18.006819718564,13.6158198266248,4.02535169073515,-1.26885453502886,0.0371728758790395,18.0068197034376,13.615818605599,1.39261228363358,2.89075055855533,2.61123224959179
